sentence1	sentence2
Poleg teh dejavnikov je treba omeniti tudi tiste, ki so neposredno v domeni sodstva in bi lahko pripomogli k večji učinkovitosti njegovega dela.	Poleg teh dejavnikov obstajajo tudi dejavniki, ki so neposredno v pristojnosti sodstva in bi lahko prispevali k učinkovitejšemu delu.
Poleg teh dejavnikov je treba omeniti tudi tiste, ki so neposredno v domeni sodstva in bi lahko pripomogli k večji učinkovitosti njegovega dela.	Poleg naštetih dejavnikov je treba navesti še tiste, ki so v neposredni domeni sodstva in bi lahko pripomogli k večji ekonomičnosti njegovega delovanja.
Na naša filmska platna se po dveh letih ponovno vrača Adam Sandler, v zadnjih nekaj letih najuspešnejši ameriški filmski komik, saj sta njegovi zadnji uspešnici Mamin sinko in Očka po sili, ob izjemno nizkih stroških, v ameriških kinematografih zaslužili vsaka več kot 160 milijonov dolarjev (prejšnja najuspešnejša komika Jim Carrey in Robin Williams trenutno snemata resnejše filme, slednji celo negativce v srhljivkah).	Adam Sandler, najuspešnejši ameriški filmski komik zadnjih let, se po dveh letih vrača na naša platna, saj sta njegovi zadnji uspešnici, Mamin sinček in Tatko po sili razmer, v ameriških kinematografih ob zelo nizkih stroških prinesli več kot 160 milijonov dolarjev (prejšnja najuspešnejša komika Jim Carrey in Robin Williams trenutno snemata resnejše filme, slednji celo negativne vloge v grozljivkah).
Adam Sandler, najuspešnejši ameriški filmski komik zadnjih let, se po dveh letih vrača na naša platna. Njegovi zadnji uspešnici, Mamin sinček in Tatko po sili razmer, sta v ameriških kinematografih zaslužili po več kot 160 milijonov dolarjev, in to z zelo nizkimi stroški (prejšnja najuspešnejša komika, Jim Carrey in Robin Williams, trenutno snemata resnejše filme, slednji celo negativne vloge v grozljivkah).	Na naša filmska platna se po dveh letih ponovno vrača Adam Sandler, v zadnjih nekaj letih najuspešnejši ameriški filmski komik, saj sta njegovi zadnji uspešnici Mamin sinko in Očka po sili, ob izjemno nizkih stroških, v ameriških kinematografih zaslužili vsaka več kot 160 milijonov dolarjev (prejšnja najuspešnejša komika Jim Carrey in Robin Williams trenutno snemata resnejše filme, slednji celo negativce v srhljivkah).
"""Le kdaj sva medve imeli normalno življenje, Eve Malone?"""	"""Kdaj smo imeli normalno življenje, Eve Malone?"""
Ko sem videl 6. mesto, sem se precej potrudil, saj sem imel dober občutek. Za nobenega od mojih skokov me ne bi mogli bolj kaznovati, nikoli ne bi rekel, da je bila razlika med mojimi nastopi tako velika, kot kažejo rezultati.	Kar debelo sem pogledal, ko sem zagledal 6. mesto, saj sem imel dober občutek, za noben doskok me niso mogli resneje kaznovati, nikdar ne bi rekel, da je bila med mojima nastopoma takšna razlika, kot kažeta oceni.
Ko sem videl šesto mesto, sem bil precej debel, saj sem imel dober občutek, za nobenega od mojih skokov me ne bi mogli bolj kaznovati, nikoli ne bi rekel, da je bila med mojimi nastopi takšna razlika, kot kažejo rezultati.	Ko sem videl 6. mesto, sem se precej potrudil, saj sem imel dober občutek. Za nobenega od mojih skokov me ne bi mogli bolj kaznovati, nikoli ne bi rekel, da je bila razlika med mojimi nastopi tako velika, kot kažejo rezultati.
Pred kratkim nas je razveselil še z novo pogruntavščino, s trdo kavo, ki se jo je.	Pred kratkim nas je navdušil z novim izumom, trdo kavo, ki jo je.
Pred kratkim nas je razveselil še z novo pogruntavščino, s trdo kavo, ki se jo je.	Pred kratkim nas je razveselil z novim izumom, trdo kavo, ki jo je izumil.
Toda če v tem procesu ne želijo izgubiti svoje identitete, česar pa ne želimo, jo tudi ljubosumno varujejo.	Če pa hkrati nočeta ob tem izgubiti svoje lastne identitete, česar tudi midva nočeva, ob tem ljubosumno čuvata tudi vsak svojo lastno identiteto.
Toda če pri tem ne želijo izgubiti svoje identitete, česar si ne želimo, ljubosumno varujejo tudi svojo identiteto.	Toda če v tem procesu ne želijo izgubiti svoje identitete, česar pa ne želimo, jo tudi ljubosumno varujejo.
Deloma je tako že zdaj; na primer, naši trgovci Porsche in Interspar niso neposredno povezani z Nemčijo ali Nizozemsko, temveč imajo sedež v Avstriji.	Deloma je tako že zdaj, saj na primer naši prodajni mesti Porsche in Interspar nista neposredno povezani z Nemčijo ali Nizozemsko, temveč imata sedež v Avstriji.
Deloma se to že dogaja, saj denimo naši zastopstvi Porscheja in Interspara nista neposredno povezani z Nemčijo ali Nizozemsko, ampak imata svoji centrali v Avstriji.	Deloma je tako že zdaj, saj na primer naši prodajni mesti Porsche in Interspar nista neposredno povezani z Nemčijo ali Nizozemsko, temveč imata sedež v Avstriji.
Kljub Američanovima napakama v napadu in pri servisu (prva zaključna žoga) so domači dobili tudi drugi niz.	Kljub napakam Američank v napadu in na servisu (prva zaključna žoga) so domačinke osvojile drugi niz.
Kljub Američanovima napakama v napadu in pri servisu (prva zaključna žoga) so domači dobili tudi drugi niz.	Kljub ameriškim napakam v napadu in na servisu (prva zaključna žoga) so domačinke osvojile drugi niz.
Za švicarsko legendo Vreni Schneider, ki s 34 prvimi mesti vodi v slalomski razvrstitvi, zaostaja le še za eno zmago.	Tako še vedno za zmago zaostaja za švicarsko legendo Vreni Schneider, ki vodi na lestvici slalomskih zmag s 34 prvimi mesti.
Ne le da preštejejo vsako pokajeno cigareto in popito pivo njegovih dveh mladeničev, temveč so zelo pozorni tudi na skrivna nagnjenja bodočega kralja, kar vključuje podroben vpogled v intimnosti, kot je okolje, v katerem Charles počne te stvari v sobah, kamor cesar še vedno hodi peš.	Ne le da preštejejo vsako pokajeno cigareto in popito pivo njegovih dveh potomcev, ampak so tudi zelo pozorni na skrivna nagnjenja bodočega kralja. To vključuje podroben vpogled v intimnosti, kot je okolje, v katerem Charles počne stvari v sobah, v katerih je cesar še vedno na sprehodu.
Ne le da preštejejo vsako pokajeno cigareto in popito pivo njegovih dveh mladeničev, temveč so zelo pozorni tudi na skrivna nagnjenja bodočega kralja, kar vključuje podroben vpogled v intimnosti, kot je okolje, v katerem Charles počne te stvari v sobah, kamor cesar še vedno hodi peš.	Ne le, da štejejo njegovima mulcema vsako pokajeno cigareto in popito pivo, ampak so zelo pozorni tudi do skrivnih nagnjenj bodočega kralja, kamor sodi tudi natančen vpogled v intimnosti, kot so, v kakšnem okolju Charles počne tiste stvari v prostorih, kamor gre še cesar peš.
Nad vašimi idejami bodo navdušeni, zato je pred vami veliko dela.	Navdušeni boste nad svojimi idejami, zato vas čaka veliko dela.
Navdušeni bodo nad vašimi idejami, zato vas čaka veliko dela.	Navdušeni boste nad svojimi idejami, zato vas čaka veliko dela.
Pogosto slišite, da je bolje leteti z znanimi letalskimi družbami kot s tistimi iz eksotičnih držav, saj so njihova letala edina težava: letala so stara in slaba, pogosto imajo zamude, leti so odpovedani, storitve so slabe.	Pogosto boste slišali, da je bolje leteti z znanimi letalskimi družbami kot s tistimi iz eksotičnih držav, saj so njihova letala edina težava: letala so stara in slaba, pogosto zamujajo, leti so odpovedani, storitve so slabe.
Pogosto boste slišali, da se je bolje voziti z znanimi letalskimi prevozniki kot s tistimi iz eksotičnih dežel, češ da so z njihovimi letali same težave: letala so stara in slaba, pogosto zamujajo, polete odpovedujejo, njihove storitve so slabe.	Pogosto slišite, da je bolje leteti z znanimi letalskimi družbami kot s tistimi iz eksotičnih držav, saj so njihova letala edina težava: letala so stara in slaba, pogosto imajo zamude, leti so odpovedani, storitve so slabe.
Če že iščete razloge, zakaj drugi album zveni drugače, jih morate iskati v najinih glavah.	Če iščete razloge, zakaj drugi album zveni drugače, morate pogledati v naše glave.
Vprašanje: S sosedoma ste se v letu 1978 dogovorili za služnostno pravico voženj in hoje po njuni parceli v korist vaših dveh parcel.	Vprašanje: Leta 1978 ste se s sosedi dogovorili o pravici hoje in vožnje po njihovih zemljiščih v korist vaših dveh zemljišč.
Vprašanje: Leta 1978 ste se s sosedi dogovorili o pravici vožnje in hoje po njihovem zemljišču v korist vaših dveh parcel.	Vprašanje: Leta 1978 ste se s sosedi dogovorili o pravici hoje in vožnje po njihovih zemljiščih v korist vaših dveh zemljišč.
Našli smo jih v majhni koči, pokriti s palmovimi listi, na bližnjem hribu in dogovorili smo se, da bodo naslednje jutro z našimi konji odšli na nasprotni breg.	Našli smo jih v majhni koči, pokriti s palmovimi listi, na bližnjem hribu in se dogovorili, da bodo naslednje jutro z našimi konji odšli na nasprotno obalo.
Našli smo jih v majhni koči, pokriti s palmovimi listi, na bližnjem hribu in dogovorili smo se, da bodo naslednje jutro z našimi konji odšli na nasprotni breg.	Našla sva jih v majhni, s palmovimi listi pokriti koči na bližnjem hribčku in zmenili smo se, da bodo šli naslednje jutro z najinimi konji na nasprotni breg.
Tudi pogled v hladilnik vama bo razkril, kdo potrebuje vajina darila.	Pogled v hladilnik vam bo pokazal, kdo potrebuje vaša darila.
Tudi pogled v hladilnik vama bo razkril, kdo potrebuje vajina darila.	Pogled v hladilnik vam bo povedal tudi, kdo potrebuje vaša darila.
Bal sem se, da je predsednik redkobeseden in da bom moral pripraviti vsaj sto vprašanj, če bom hotel končati prvo uro najinega pogovora.	Bal sem se, da je predsednik redkobeseden in da si moram vnaprej pripraviti vsaj sto vprašanj, če želim končati prvo uro najinega pogovora.
Strašili so me namreč, da je predsednik sila redkobeseden mož in da naj vnaprej pripravim vsaj sto vprašanj, če hočem do konca speljati najinemu pogovoru namenjeno prvo uro.	Bal sem se, da je predsednik redkobeseden in da si moram vnaprej pripraviti vsaj sto vprašanj, če želim končati prvo uro najinega pogovora.
Obe vaši pismi med vrsticami razkrivata vaše mišljenje: če bi se kmetje v Goričah in okolici pobijali v razpadajočih hlevih, brodili po blatnih dvoriščih, dan za dnem popravljali stare stroje ter se vozili z razmajanimi avtomobili, potem bi bil tudi smrad gnojevke manj moteč.	Iz obeh vaših pisem je razvidno, da razmišljate med vrsticami: če bi se kmetje v Goričah in okolici pobijali v razpadajočih hlevih, se prebijali po blatnih dvoriščih, dan za dnem popravljali stare stroje in se vozili z razmajanimi avtomobili, potem bi bil vonj gnojevke manj moteč.
Iz vaših dveh pisem je razvidno, da razmišljate med vrsticami: če bi se kmetje v Goričah in okolici pobijali v razpadajočih hlevih, se brodili po blatnih dvoriščih, dan za dnem popravljali stare stroje in se vozili z razmajanimi avtomobili, bi vas vonj gnojevke manj motil.	Iz obeh vaših pisem je razvidno, da razmišljate med vrsticami: če bi se kmetje v Goričah in okolici pobijali v razpadajočih hlevih, se prebijali po blatnih dvoriščih, dan za dnem popravljali stare stroje in se vozili z razmajanimi avtomobili, potem bi bil vonj gnojevke manj moteč.
Za številne ljubitelje stripov je nova obljuba vrhunske pustolovščine dveh največjih superjunakov na svetu uresničitev sanj, poroča BBC-jev Peter Bowes.	Za številne navdušence nad stripi je nova obljuba o vrhunski pustolovščini dveh največjih superjunakov na svetu uresničitev sanj, poroča BBC-jev Peter Bowes.
Za številne stripovske entuziaste je nova obljuba ultimativne pustolovščine dveh največjih superjunakov uresničitev sanj, poroča Peter Bowes iz BBC.	Za številne ljubitelje stripov je nova obljuba vrhunske pustolovščine dveh največjih superjunakov na svetu uresničitev sanj, poroča BBC-jev Peter Bowes.
Čeprav drobna cvetica ni posebej redka, se nisem mogel spomniti, da bi jo na najinih pohajkovanjih že kdaj opazila.	Čeprav ta drobna cvetlica ni posebno redka, se nisem mogel spomniti, da bi jo kdaj videl na naših sprehodih.
Čeprav drobna cvetica ni posebej redka, se nisem mogel spomniti, da bi jo na najinih pohajkovanjih že kdaj opazila.	Čeprav ta drobna cvetlica ni posebno redka, se ne spomnim, da bi jo kdajkoli videl na naših sprehodih.
Eksperimentirajo tudi z materiali, saj menijo, da sama oblika brez resničnega bogastva vsebine ne zadostuje njihovim zahtevnim merilom glede končnega izdelka.	Eksperimentirata tudi z materiali, saj menita, da zgolj oblika brez resničnega vsebinskega bogastva ne izpolnjuje njunih zahtevnih meril za končni izdelek.
Eksperimentirajo tudi z materiali, saj menijo, da zgolj oblika brez resničnega vsebinskega bogastva ne izpolnjuje njihovih zahtevnih meril za končni izdelek.	Eksperimentirajo tudi z materiali, saj menijo, da sama oblika brez resničnega bogastva vsebine ne zadostuje njihovim zahtevnim merilom glede končnega izdelka.
Prav pred mano sta nastopali morda največji imeni plavanja takrat Ian Thorpe in Grant Hackett.	Pred menoj sta sedela takrat verjetno največja plavalna zvezdnika, Ian Thorpe in Grant Hackett.
Prav pred mano sta nastopali morda največji imeni plavanja takrat Ian Thorpe in Grant Hackett.	Tik pred mano sta bila takrat verjetno največja plavalna zvezdnika, Ian Thorpe in Grant Hackett.
Za ta korak se je odločil, ker se njuna mnenja o nekaterih vprašanjih preveč razlikujejo.	Za ta korak se je odločil, ker imata preveč nesoglasij glede določenih vprašanj.
Za ta korak naj bi se odločil zato, ker se njuna mnenja o nekaterih stvareh preveč razhajajo.	Za ta korak se je odločil, ker se njuna mnenja o nekaterih vprašanjih preveč razlikujejo.
Otrok prekipeva od energije in je zelo hiter, le vaši načini pogosto niso usklajeni.	Otroka kar razganja od energije in zelo hiter je, le da vajine poti največkrat niso usklajene.
Otrok prekipeva od energije in je zelo hiter, le da vaše poti pogosto niso sinhronizirane.	Otroka kar razganja od energije in zelo hiter je, le da vajine poti največkrat niso usklajene.
Razen če zdravnik ne odredi drugače, ni nujno, da otrok v času bolezni je.	Ni potrebno, da je otrok v času bolezni bolan, razen če to odredi zdravnik.
Če zdravnik ne odredi drugače, ni potrebno, da je otrok v času bolezni bolan.	Ni potrebno, da je otrok v času bolezni bolan, razen če to odredi zdravnik.
Ko otrok poje tri obroke trdne hrane na dan, ga lahko začnete navajati na skodelico z dvema ročajema, iz katere med jedjo pije vodo ali razredčen sadni sok.	Ko otrok poje tri obroke trdne hrane na dan, ga lahko navadite na skodelico z dvema ročajema, iz katere med jedjo pije vodo ali razredčen sadni sok.
Ko otrok je že tri obroke trde hrane na dan, ga lahko začnete navajati na lonček z dvema ročajema, iz katerega med jedjo pije vodo ali razredčen sadni sok.	Ko otrok poje tri obroke trdne hrane na dan, ga lahko začnete navajati na skodelico z dvema ročajema, iz katere med jedjo pije vodo ali razredčen sadni sok.
Društvo je poudarilo, da bodo njegovi člani, prebivalci okolice tovarne ivernih plošč in drugi prebivalci Novogorja vztrajali pri zahtevi po celoviti sanaciji.	Društvo je poudarilo, da bodo njegovi člani, prebivalci v okolici tovarne ivernih plošč in drugi Novogoričani vztrajali pri zahtevi za celostno sanacijo.
Združenje je poudarilo, da bodo njegovi člani, prebivalci tovarne ivernih plošč in drugi Novogoričani vztrajali pri zahtevi po celoviti sanaciji.	Društvo je poudarilo, da bodo njegovi člani, prebivalci v okolici tovarne ivernih plošč in drugi Novogoričani vztrajali pri zahtevi za celostno sanacijo.
