sentence0;sentence1;sentence2;sentence3
 Nalivanje s preveč zastonj šampanjca pred odhodom, a, Yusuf? -Ha ha, hudo smešno.; Nalivanje s preveč zastonj šampanjca pred odhodom, a Yusuf? -Zelo smešno.; Karkoli že je, se te ne tiče. -Prav vse, se me tiče.; Trudila sem se, da se ne bi, toda... -Toda nič ni temu podobnega.
 Zdaj bo v takšnem vremenu gotovo iskal taksi.; Zdaj bo v takšnem vremenu gotovo iskal taksi.; In ko bo kombi trčil v pregrado na mostu, bo to več kot očitno.; Ubijanje ga bo pač le prebudilo.
 Drekač! Ej, model, kaj ko bi ... -Odkorakaj.; Drekač! Ej, model, kaj ko bi... -Odidi.; Hej! Pridi sem! -Prihajam.; Njega vprašaj, on je bil tam. -Odnesimo ga gor.
 Poslušaj, iti moram. V redu. Taksi! Hvala.; Poslušaj, iti moram. V redu. Taksi! Hvala.; Daj že. Pojdi...; Pridobi nama še nekaj časa. Velja? Pridi!
 Križišče Tretje in Marketa. Hitro.; Križišče Tretje in Marketa. Hitro.; Ideja je kot virus. Odporna.; Ali nagibanje.
 Kaj počnete? -O, pardon. Sem mislil, da je prosto.; Kaj počnete? -Se opravičujem. Sem mislil, da je prosto.; Imaš kemika? -Ne, ne še. -Dobro, ker je tule.; Čakaš na vlak. -Mal, prekleto, ne počni tega.
 No, pa ni. -Morda si ga lahko deliva. -Ja, morda pa ne.; No, pa ni. -Morda si ga lahko deliva. -Ja, morda pa ne.; Karkoli že je, se te ne tiče. -Prav vse, se me tiče.; A včasih se zdi, kot bi se ustvarjala sama od sebe, če več kaj mislim. -Ja, ja.
 Lahko ustavite in se znebite tegale ...; Lahko ustavite in se znebite tega...; Če rabite pomoč...; Sploh ne gre razmišljati o begu dokler pomirjevalo...
 Krasno.; Krasno.; Super.; Čista stvaritev.
 Pridi!; Pridi!; Pridi.; Pridi.
 Tu notri je 500 $, denarnica pa je vredna še več.; Tu notri je 500$, denarnica pa je vredna še več.; Gotovo vas je dala na čevelj razen, če ima njena telefonska res le 6 številk.; Prekleto. Že denarnica sama po sebi je stala vsaj... -500 $, drži?
 Torej me na mojem cilju lahko spustite ven.; Torej me na mojem cilju lahko spustite ven.; Da vsa stvar funkcionira, me morate povsem spustiti noter.; In če bo prepozno, vas ne bom mogel spustiti.
 Se bojim da ...; Se bojim da...; Ne, ne...; Ježeš...
 Pokrijte ga! -Ne, ne! Kaj se dogaja?; Pokrijte ga! -Ne, ne! Kaj se dogaja?; Spravi ga v sobo! -Kaj za vraga...; Gospod Charles? -Veste, kaj je to, gospod Fischer?
 Tega ni v mojem dizajnu.; Tega ni v mojem načrtu.; Ni nujno, da sem to jaz.; Nisem prepričan, da je potrebno.
 Cobb? Cobb?!; Cobb? Cobb?!; Saito? Saito?; Eames?
 Eames!!; Eames!; Cobb? Cobb?!; Bom!
 A si v redu? -Ja, dobro. Ni mi sile.; A si v redu? -Ja, dobro.; Hej? Ej, poglej me. Vse je v redu s tabo.; Kdo? -Ne, nisi ti.
 Fischer je v redu. -Če mu ne bo slabo od vožnje.; Fischer je v redu. -Če mu ne bo slabo od vožnje.; Jaz... Ne vem kako... -Dihajte, dihajte, spomnite se treninga.; Imate, po kar ste prišli. -No ja, ne bo držalo.
 Saito?; Saito?; Saito? Saito?; Eames?
 Odvedi Fischerja v sobo zadaj. Takoj!; Odvedi Fischerja v sobo zadaj. Takoj!; Povejte, kar veste! Povej nam, kar veste. Takoj!; Preveri, če je živ. Takoj. Pojdi.
 Spravi ga v sobo! -Kaj za vraga ...; Spravi ga v sobo! -Kaj za vraga...; Saj ni važno. -Mal, hudič prekleti!; Ampak, nisi povsem prepričan. -Mal, poglej me!
 Je bil ustreljen? Umira? -Ne vem. -Jezus Kristus.; Je bil ustreljen? Umira? -Ne vem. -Jezus Kristus.; Mal, ne! Jezus Kristus!; Kako je z njim. -Ne bi ga rad po nepotrebnem vznemirjal, toda...
 In kje si bil ti? Kaj se ti je zgodilo? -Punca je splanirala tovorni vlak.; In kje si bil ti? Kaj se ti je zgodilo? -Punca je načrtala tovorni vlak.; Kaj se je zgodilo? -Cobb je ostal.; Pa ti, vedel si za to in nič zinil? -Zaupal sem mu.
 Zakaj si postavila železniško progo v središče mesta. -Saj jo nisem.; Zakaj si postavila železniško progo v središče mesta? -Saj jo nisem.; Prosil si me, naj delim sanje s tabo. -Pa ne teh.; Pravega navdiha ni možno poneveriti. -Ni res.
 Od kje pa se je vzela? -Naj te jaz nekaj vprašam? Zakaj hudiča so nas napadli?; Od kje pa se je vzela? -Naj te jaz nekaj vprašam? Zakaj hudiča so nas napadli?; Če ostanem tu, mu boš pustila oditi? -O čem pa govoriš?; In kaj se zgodi, ko umremo? -Zdrsnemo v limbo. -A se hecaš?
 Tole niso normalne projekcije! Zaboga, bili so izurjeni. -Prav imaš.; To niso bile normalne predstavitve! Zaboga, bili so izurjeni. -Prav imaš.; Imate, po kar ste prišli. -No ja, ne bo držalo.; Ne morem vas spustiti brez gravitacije. -Saj res.
 Kako so lahko bili izurjeni? -Fischer je imel izvlačitelja, ki je njegovo podzavest naučil, kako naj se sama obrani. Zato je militarizirana.; Kako so lahko bili izurjeni? -Fischer je imel izvlačitelja, ki je njegovo podzavest naučil, kako naj se sama brani.; Kaj se je zgodilo? -Mal je ubila Fischerja.; To ni mogoče izvesti. -Pač, izvedljivo je.
 V raziskavi tega ni navedeno. -Žal mi je. -Prekleto, zakaj potlej ni?; V raziskavi to ni navedeno. -Žal mi je. -Prekleto, zakaj potem ni?; Karkoli že je, se te ne tiče. -Prav vse, se me tiče.; Trudila sem se, da se ne bi, toda... -Toda nič ni temu podobnega.
 Pomiri se. -Ne govori mi o pomiritvi, to je bila tvoja naloga, hudič prekleti!; Pomiri se. -Ne govori mi, naj se pomirim, to je bila tvoja naloga!; Odrešimo ga muk. -Ne, nikar. Nikar ne počni tega!; Saj ni važno. -Mal, hudič prekleti!
 Tvoja odgovornost! Mišljeno je bilo, da temeljito preveriš Fischerjevo ozadje!; Tvoja odgovornost! Mišljeno je bilo, da temeljito preveriš Fischerjevo ozadje!; Zakaj? -Ker nam bo njegovo obnašanje povedalo, če je Fischer pričel sumiti v njegove motive kot mi hočemo.; Močno upam, da resnica, ki hočemo, da jo Fischer zve.
 Nismo pripravljeni na takšen tip nasilja! -Že prej smo imeli opravka s samoobrambo!; Že prej smo imeli opravka s samoobrambo!; Nismo pripravljeni na takšen tip nasilja!; Kar vabi veliko pozornosti na nas. -Mar ni Cobb rekel, naj tega ne delamo?
 Previdnejši bomo in vse bo v redu. -To ni bil del načrta. Umira, za božjo voljo!; To ni bil del načrta. Umira, za božjo voljo!; Še nekdo je notri. -Fischer, past je. Ven beži!; Nimamo časa. -Ne, a tam spodaj ga bo zadosti.
 Ajde, odrešimo ga muk. -Ne, nikar. Nikar ne počni tega!; Odrešimo ga muk. -Ne, nikar. Nikar ne počni tega!; Ampak, nisi povsem prepričan. -Mal, poglej me!; Čakaš na vlak. -Mal, prekleto, ne počni tega.
 V agoniji je. Prebudil ga bom. -Ne, ne bo se prebudil.; V agoniji je. Prebudil ga bom. -Ne, ne bo se prebudil.; Nisem vedel, da bo drgnil svojo prekleto glavo ob njo. -Dovolj bo.; Moralo bi biti zelo enostavno. -Utihni! Ne bo.
 Kako to misliš? -Ne bo se. -Ko v sanjah umremo, se prebudimo.; Kako to misliš? -Ne bo se. -Ko v sanjah umremo, se prebudimo.; Ker se čas še ni iztekel in se v sanjah ne moreš zbuditi, razen če umreš.; In kaj se zgodi, ko umremo? -Zdrsnemo v limbo. -A se hecaš?
 Iz tehle ne. Preveč je uspavan, da bi se prebudil na ta način.; Iz teh ne. Preveč je uspavan, da bi se prebudil na ta način.; Ne, da živim samo zanj.; Ne bi bil tukaj, če bi poznal kakšen drug način.
 Aja, in kaj se zgodi, ko umremo? -Zdrsnemo v limbo. -A se hecaš?; In kaj se zgodi, ko umremo? -Zdrsnemo v limbo. -A se hecaš?; Od kje pa se je vzela? -Naj te jaz nekaj vprašam? Zakaj hudiča so nas napadli?; Spravi ga v sobo! -Kaj za vraga...
 Limbo? -Neizgrajen prostor sanj.; Limbo? -Nezgrajen prostor sanj.; Kdo so ti ljudje? -Predstavitev moje podzavesti.; Ki so? -Velika globina.
 In kaj vraga je tam spodaj? -Le surova brezkončna podzavest. Tam spodaj ni nič.; In kaj vraga je tam spodaj? -Le surova brezkončna podzavest. Tam spodaj ni nič.; Nima ga smisla oživljati. Njegov um je že ujet tam spodaj. Vsega je konec.; Trudila sem se, da se ne bi, toda... -Toda nič ni temu podobnega.
 Razen tega, kar je utegnilo ostati od koga, s katerim delimo sanje, ki je že prej bil ujet tam. V našem primeru si to ti.; Razen tega, kar je utegnilo ostati od koga, s katerim delimo sanje, ki je že prej bil ujet tam. V našem primeru si to ti.; In tu te potrebujem. Ti ustvariš svet sanj.; Tako, ko zreš v totem, brez dvoma veš, da nisi v sanjah nekoga drugega.
 Kako dolgo lahko tičimo tam? -Sploh ne gre razmišljati o begu dokler pomirjevalo ...; Sploh ne gre razmišljati o begu dokler pomirjevalo...; Krcnejo te iz sanj. -Pa bomo ob takšnem pomirjevalu čutili trzljaj?; In zakaj tega ne dovoliš? -Ker razkriva znake, da sanja.
 Kako dolgo, Yusuf? -Desetletja, morda neskončno. Ne vem.; Kako dolgo, Yusuf? -Desetletja, morda neskončno. Ne vem.; Cobb, pa ostali to vedo? -Ne. Ne vedo.; Kaj misliš, čemu bi predlagal kaj takšnega? -Resnično ne vem.
 Njega vprašaj, on je bil tam. -Odnesimo ga gor po stopnicah.; Njega vprašaj, on je bil tam. -Odnesimo ga gor.; Drekač! Ej, model, kaj ko bi... -Odidi.; In kje si bil ti? Kaj se ti je zgodilo? -Punca je načrtala tovorni vlak.
 Prima.; Spi.; Kavo.; Stoj.
 Se zahvaljujem.; Se zahvaljujem.; Hvala.; Hvala.
 Zdaj smo torej ujeti v Fischerjovem umu in se borimo z njegovo zasebno armado.; Sedaj smo torej ujeti v Fischerjovem umu in se borimo z njegovo zasebno vojsko.; Upajmo, da bo Fischerju všeč, kar bo našel tam notri.; Moramo se prebiti od tod, preden nas popolnoma obkolijo.
 in če smo ubiti, bomo izgubljeni v limbu, dokler se nam možgani ne spremene v umešana jajčka, a?; in če smo ubiti, bomo izgubljeni v limbu, dokler se nam možgani ne spremene v umešana jajca, ne?; Čakajoč, da umrem sam, a?; Kaj če sem jaz tisto resnično?
 Imaš prvo pomoč?; Imaš prvo pomoč?; Si dobro?; Kaj počneš?
 A potlej si vedel za to tveganje, pa nam nisi povedal?; Vedel si za tveganje, pa nam nisi povedal?; Nisi rekel, da sta bila skupaj ugrabljena?; Nikdar nisi maral svoje pisarne, kajne?
 Tveganje ni bilo mišljeno, saj nisem vedel, da bomo imeli opraviti s streljanjem.; Tveganje ni bilo mišljeno, saj nisem vedel, da bomo imeli opravka s streljanjem.; V Fischerjevo, a sem mu rekel, da je Browningova, da bo lahko član naše ekipe.; Ne bi bil tukaj, če bi poznal kakšen drug način.
 Nisi imel prav. -Edino tako lahko gremo tri nivoje globoko.; Nisi imel prav. -Edino tako, lahko gremo tri nivoje globoko.; Zakaj je to tako važno? -V primeru, da eden od nas vnese svoje predstavitve, nočemo, da poznajo podrobnosti labirinta.; Kar vabi veliko pozornosti na nas. -Mar ni Cobb rekel, naj tega ne delamo?
 Pa ti, vedel si za to in nič zinil? -Zaupal sem mu.; Pa ti, vedel si za to in nič zinil? -Zaupal sem mu.; Kaj se je zgodilo? -Cobb je ostal.; In kje si bil ti? Kaj se ti je zgodilo? -Punca je načrtala tovorni vlak.
 Zaupal si mu. Kaj? Ti je obljubil pol svojega deleža?; Zaupal si mu. Kaj? Ti je obljubil pol svojega deleža?; Ah, Arthur. Še vedno delaš s tem čudakom?; Kaj? Maurice mi je rekel, da boš po njegovi smrti edini, ki ga bo lahko odprl.
 Ne, vsega. Je rekel, da ste to že počel.; Ne, vsega. Je rekel, da ste to že počel.; Haluciniral je... Je pa omenil vaše ime.; Ja, mislim da. Ja. -Skušali so vas uspavati.
 Da smo že izvajali? Kaj, z Mal? -Se je zato tako dobro obneslo?; Da smo že izvajali? Kaj, z Mal? -Se je zato tako dobro obneslo?; In čas sanj? -S tole zmesjo?; V raziskavi to ni navedeno. -Žal mi je. -Prekleto, zakaj potem ni?
 Nič nima opraviti s tem. Storil sem, kar sem moral, da se vrnem k otrokoma.; Nič nima opraviti s tem. Storil sem, kar sem moral, da se vrnem k otrokoma.; Moram priti domov. To je zdaj moja edina skrb.; Ne počni tega, Mal, prosim te. To nista moja otroka.
 Privedel si nas na vojno območje brez poti povratka.; Privedel si nas na vojno območje brez povratka.; Nikdar te nisem učil kraje.; Vedel si za tveganje, pa nam nisi povedal?
 Obstaja izhod. Nadaljevali bomo s poslom in ga opravili kar se le da hitro in izstopili bomo z rabo trzaja. Tako kot poprej.; Obstaja izhod. Nadaljevali bomo s poslom in ga opravili kar se le da hitro in izstopili bomo z rabo trzaja. Tako kot prej.; Dovolj dobro je. Lahko začnemo od tu.; Nato, ko pridemo na spodnji nivo, izvlečemo glavno orožje: »Moj oče noče, da sem kot on«. -Točno.
 Pozabi. Če gremo globlje, večamo rizik. Posedel bom kar na temle nivoju, pobje.; Posedel bom kar na temle nivoju, pobje.; Daj že. Pojdi...; Ne, ne, ne kaži mi podrobnosti. Le sanjajoči naj bi poznal razpored.
 Fischerjevo varovanje obkroža ta kraj, o čemer je že bilo govora.; Fischerjevo varovanje obkroža ta kraj, o čemer je že bilo govora.; Upajmo, da bo Fischerju všeč, kar bo našel tam notri.; Takoj, ko pridemo v hotel in se približamo Fischerju, nas bodo njegovi varnostniki obkolili.
 10 ur poleta je na tem nivoju en teden, kar pomeni, da bomo vsi in vsak ubiti.; 10 ur poleta je na tem nivoju en teden, kar pomeni, da bomo vsi in vsak ubiti.; To pomeni, da ga moram najti.; Videti je, da smo si pridobili svojih 10 ur.
 To vam zagotavljam. Ni druge, kot da nadaljujemo in čim prej opravimo.; To vam zagotavljam. Ni druge, kot da nadaljujemo in čim prej opravimo.; Dovolj dobro je. Lahko začnemo od tu.; Verjemite mi, s tem se ukvarjam. Nekaj skriva in ugotoviti moramo kaj to je.
 Za dol je edina pot naprej.; Za dol je edina pot naprej.; Vožnja tja dol je nestabilna kot sam vrag.; Sledimo Fischerju tja dol.
 Pripravite se. Ti, pridi, greva ga pretrest.; Pripravite se. Ti, pridi, greva ga pretrest.; Tukaj ne voham pogodbe. Odpeljite ga dol.; Le se vrnite se pred trzajem. Pojdi spat, gospod Eames.
 Pred ugrabitvijo sem zavarovan za 10 milijonov.; Pred ugrabitvijo sem zavarovan za 10 milijonov.; Ker so mnenja, da sem jo ubil.; Če se vkrcam na letalo, vi pa ne izpolnite najinega dogovora, bom ob pristanku odšel v zapor do konca življenja.
 Moralo bi biti zelo enostavno. -Utihni! Ne bo.; Moralo bi biti zelo enostavno. -Utihni! Ne bo.; V agoniji je. Prebudil ga bom. -Ne, ne bo se prebudil.; Pojdi preverit, če je res, Ariadne. -Cobb, tega ne moreš storiti.
 V pisarni tvojega očeta, pod knjižno polico, ima svoj sef.; V pisarni tvojega očeta, pod knjižno polico, ima svoj sef.; Imajo nekoga z dostopom v pisarno tvojega očeta in skušajo odpreti njegov sef.; Kaj? Maurice mi je rekel, da boš po njegovi smrti edini, ki ga bo lahko odprl.
 Kombinacijo hočemo. -Za noben sef ne vem.; Kombinacijo hočemo. -Za noben sef ne vem.; Zakaj? -Noče mi povedati.; Imate, po kar ste prišli. -No ja, ne bo držalo.
 Kar še ne pomeni, da ne poznaš kombinacije.; Kar še ne pomeni, da ne poznaš kombinacije.; To je že bolje.; Veš, kam upaš da te popelje, ampak, nisi povsem prepričan.
 Povej kakšna je.; Povej kakšna je.; Povedala ti bom uganko.; Veš kako me najti.
 Ni mi znana.; Ni mi znana.; Veliko se mi moti po glavi.; Nisem prepričan, da je potrebno.
 Imamo dober vir, da veš. -Aja? Kdo je ta vir?; Imamo dober vir, da veš. -Aja? Kdo je ta vir?; Vem, kje jo najdem. Imela bo Fischerja. -Kako veš?; Ime mi je... -Vem kdo si. Kaj delaš tukaj?
 Tole je stalo 500 $?; Tole je stalo 500 $?; Misliš, da on je?; Phillipa, si to ti? Mi daš babico na telefon?
 Kaj je notri? -Gotovina, kartice, osebna in tole.; Kaj je notri? -Gotovina, kartice, osebna in tole.; Kombinacijo hočemo. -Za noben sef ne vem.; In kje je? -Je že ni več.
 Uporabno? -Zna biti.; Uporabno? -Zna biti.; Kemika iščeš? -Da.; Usposabljanje? -Pravzaprav ne.
 Ti si na potezi. Uro časa imamo. -Eno uro?; Ti si na potezi. Uro časa imamo. -Eno uro?; Vem, kje jo najdem. Imela bo Fischerja. -Kako veš?; Bi nama naklonil še 5 minut? -Pet minut?
 Zamišljal sem si, da bom imel na razpolago vso noč.; Zamislil sem si, da bom imel na razpolago vso noč.; Medtem, ko boste vsi spali v sobi 528, bom čakal na Yusufov trzaj.; Škoda, res sem hotel vedeti, kaj se bo zgodilo tamle notri.
 Saito si ni zamišljal, da bo ustreljen v prsi.; Saito si ni zamišljal, da bo ustreljen v prsi.; Ni se mogla osvoboditi.; Nisem je mogel ustreliti.
 Eno uro imaš in prosim te, prinesi nam kaj uporabnega.; Eno uro imaš in prosim te, prinesi nam kaj uporabnega.; Glej... to sem ti prinesel, da ob priliki daš otrokoma.; Vrni se v sobo, prav? Poskrbel bom za tole.
 Kaj je to?; Kaj je to?; Kaj je to?; Kaj?
 Dober vir.; Dober vir.; V redu.; V redu.
 Stric Peter. -Nikar, nikar.; Stric Peter. -Nikar, nikar.; Odrešimo ga muk. -Ne, nikar. Nikar ne počni tega!; Čakaš na vlak. -Mal, prekleto, ne počni tega.
 Naj nehajo.; Naj nehajo.; Ustrelili me bodo!; Kaj hudiča bomo pa sedaj?
 Kombinacija. -Ne poznam jo.; Kombinacija. -Ne poznam jo.; Kako kompleksna je ideja. -Dovolj preprosta.; Pravega navdiha ni možno poneveriti. -Ni res.
 Zakaj je Browning rekel, da jo? -Ne vem. Naj govorim z njim in izvedel bom.; Zakaj je Browning rekel, da jo? -Ne vem. Naj govorim z njim in izvedel bom.; Je Eames karkoli dodal? -Ne smem ti povedati. Če izve Mal...; Pojdi preverit, če je res, Ariadne. -Cobb, tega ne moreš storiti.
 Uro časa imaš. Začnita s pogovorom.; Uro časa imaš. Začnita s pogovorom.; Pridi. Stopi nazaj, da se pogovoriva o tem.; Prav. Pokrij ga. Gremo na vožnjo.
 Si dobro?; Si dobro?; Vidiš?; Si v redu?
 Je s tabo vse v redu?; Je s tabo vse v redu?; Je varno zate, da si tukaj?; Si v redu?
 Te barabe se že dva dni znašajo nad mano!; Te barabe se že dva dni znašajo nad mano!; Ustrelili me bodo!; Zato, ker nimajo pojma koliko tvegajo, ko so prišli s tabo sem dol.
 Imajo nekoga z dostopom v pisarno tvojega očeta in skušajo odpreti njegov sef.; Imajo nekoga z dostopom v pisarno tvojega očeta in skušajo odpreti njegov sef.; Z Browningom sta bila povlečena v te sanje, ker vam hočejo nekaj ukrasti iz uma.; Razumeš? -Potem vlomiš in jih ukradeš.
 Ja. -Trdijo, da poznam kombinacijo, pa jo ne vem.; Ja. -Trdijo, da poznam kombinacijo, pa jo ne vem.; Kombinacija. -Ne poznam jo.; Karkoli že je, se te ne tiče. -Prav vse, se me tiče.
 Ja, jaz tudi ne. Kaj zdaj?; Ja, jaz tudi ne. Kaj zdaj?; Kaj?; Ja. Kdaj prideš domov, očka?
 Kaj? Maurice mi je rekel, da boš po njegovi smrti edini, ki ga bo lahko odprl.; Kaj? Maurice mi je rekel, da boš po njegovi smrti edini, ki ga bo lahko odprl.; Ti lahko zaupam, pa karkoli že naj se zgodi? Mislim, tam spodaj bo Mal.; Škoda, res sem hotel vedeti, kaj se bo zgodilo tamle notri.
 Ne, nikdar mi ni dal nobene kombinacije.; Ne, nikdar mi ni dal nobene kombinacije.; Vedel sem, da je nekaj narobe z njo. A tega enostavno ni hotela priznati.; Kot sem ti rekel, imela sva veliko časa.
 Morda pa je, mislim, mogoče pač nisi vedel, da je kombinacija.; Morda pa je, mislim, mogoče pač nisi vedel, da je kombinacija.; Ker nisi vprašala, če sem jo res.; Hočeš torej, naj še nekomu dopustim slediti v tvojo fantazijo.
 In kaj? -Ne vem. Kakšno pomembno kombinacijo števil, osnovano na tvojih izkušnjah z Mauricom.; In kaj? -Ne vem. Kakšno pomembno kombinacijo števil, osnovano na tvojih izkušnjah z Mauricom.; Je bila to tvoja ideja? -Ne bila je... pravzaprav Malina.; No, pa ni. -Morda si ga lahko deliva. -Ja, morda pa ne.
